site_id,lat,lon,source,state,date,ls_type,trigger,landslide_occurred
negative_mizoram_00000,23.12964096179005,92.98984941043129,negative_sample,Mizoram,,none,none,0
negative_mizoram_00001,23.765525351486037,93.14135158880778,negative_sample,Mizoram,,none,none,0
negative_mizoram_00002,23.983718190981307,92.96690917538658,negative_sample,Mizoram,,none,none,0
negative_mizoram_00003,24.073993568646245,92.75699705573479,negative_sample,Mizoram,,none,none,0
negative_mizoram_00004,22.60900725559055,92.39820594276502,negative_sample,Mizoram,,none,none,0
negative_mizoram_00005,22.92213388159948,92.96144640773362,negative_sample,Mizoram,,none,none,0
negative_mizoram_00006,22.52881122131584,92.99777418908228,negative_sample,Mizoram,,none,none,0
negative_mizoram_00007,23.73030042497644,91.88069584764155,negative_sample,Mizoram,,none,none,0
negative_mizoram_00008,22.96133087684578,92.18773132503864,negative_sample,Mizoram,,none,none,0
negative_mizoram_00009,22.516099543347345,92.44499733771879,negative_sample,Mizoram,,none,none,0
negative_mizoram_00010,23.69774242691898,92.01067958205316,negative_sample,Mizoram,,none,none,0
negative_mizoram_00011,22.818421937799823,92.85794851137587,negative_sample,Mizoram,,none,none,0
negative_mizoram_00012,24.029720319442134,93.0942084637133,negative_sample,Mizoram,,none,none,0
negative_mizoram_00013,22.7592871356684,92.29808530019369,negative_sample,Mizoram,,none,none,0
negative_mizoram_00014,22.393791109678904,92.82614235247489,negative_sample,Mizoram,,none,none,0
negative_mizoram_00015,23.970593416314042,92.86671961451086,negative_sample,Mizoram,,none,none,0
negative_mizoram_00016,23.44910334204412,92.42595252495158,negative_sample,Mizoram,,none,none,0
negative_mizoram_00017,23.931897189243426,92.61625741171281,negative_sample,Mizoram,,none,none,0
negative_mizoram_00018,22.62549113522874,93.13205322890416,negative_sample,Mizoram,,none,none,0
negative_mizoram_00019,23.678314626228165,92.13003933890174,negative_sample,Mizoram,,none,none,0
negative_mizoram_00020,23.97838959440178,92.6015729901187,negative_sample,Mizoram,,none,none,0
negative_mizoram_00021,23.76294812269123,91.87715647888835,negative_sample,Mizoram,,none,none,0
negative_mizoram_00022,22.98731221619735,92.40311404077546,negative_sample,Mizoram,,none,none,0
negative_mizoram_00023,23.600495179072468,92.14421251860756,negative_sample,Mizoram,,none,none,0
negative_mizoram_00024,23.771279549174444,93.23081674991137,negative_sample,Mizoram,,none,none,0
negative_mizoram_00025,23.81354986533113,92.99843181802646,negative_sample,Mizoram,,none,none,0
negative_mizoram_00026,22.71971424213909,92.40885113991722,negative_sample,Mizoram,,none,none,0
negative_mizoram_00027,22.54781387739627,92.42033309669898,negative_sample,Mizoram,,none,none,0
negative_mizoram_00028,23.474880139597065,92.15216788069974,negative_sample,Mizoram,,none,none,0
negative_mizoram_00029,23.593179748128012,92.37794197375426,negative_sample,Mizoram,,none,none,0
negative_mizoram_00030,23.648622639824858,92.65001863651628,negative_sample,Mizoram,,none,none,0
negative_mizoram_00031,23.495605647557174,91.78961303998595,negative_sample,Mizoram,,none,none,0
negative_mizoram_00032,22.9032997191557,92.64458295517254,negative_sample,Mizoram,,none,none,0
negative_mizoram_00033,22.106097522733055,92.66222145651243,negative_sample,Mizoram,,none,none,0
negative_mizoram_00034,22.2535157998092,93.00556343795984,negative_sample,Mizoram,,none,none,0
negative_mizoram_00035,23.456451008845146,93.28316432828883,negative_sample,Mizoram,,none,none,0
negative_mizoram_00036,22.70676013120606,92.45203814873986,negative_sample,Mizoram,,none,none,0
negative_mizoram_00037,23.330854110079983,92.19801197972338,negative_sample,Mizoram,,none,none,0
negative_mizoram_00038,23.412928913106064,91.8555646493804,negative_sample,Mizoram,,none,none,0
negative_mizoram_00039,23.70371062887794,91.79887189057315,negative_sample,Mizoram,,none,none,0
negative_mizoram_00040,23.67217968134208,92.10791597436912,negative_sample,Mizoram,,none,none,0
negative_mizoram_00041,23.94087283011744,92.90579220000438,negative_sample,Mizoram,,none,none,0
negative_mizoram_00042,22.962468818301602,92.59767153201321,negative_sample,Mizoram,,none,none,0
negative_mizoram_00043,23.317040537910017,92.12524965684376,negative_sample,Mizoram,,none,none,0
negative_mizoram_00044,22.827185467503753,92.53324495642292,negative_sample,Mizoram,,none,none,0
negative_mizoram_00045,22.69565286917025,92.94122366114586,negative_sample,Mizoram,,none,none,0
negative_mizoram_00046,22.40398785627608,92.5008166640073,negative_sample,Mizoram,,none,none,0
negative_mizoram_00047,23.71704033708763,91.84048122406045,negative_sample,Mizoram,,none,none,0
negative_mizoram_00048,23.251916751564774,92.14320408239254,negative_sample,Mizoram,,none,none,0
negative_mizoram_00049,23.51626468095656,93.33400782418333,negative_sample,Mizoram,,none,none,0
negative_mizoram_00050,24.028727852407908,93.27456692480665,negative_sample,Mizoram,,none,none,0
negative_mizoram_00051,23.980518085160384,92.44110567625584,negative_sample,Mizoram,,none,none,0
negative_mizoram_00052,24.0101700372799,93.08914086635092,negative_sample,Mizoram,,none,none,0
negative_mizoram_00053,23.355693192873673,92.02093831686055,negative_sample,Mizoram,,none,none,0
negative_mizoram_00054,23.064926060413256,92.68404356306374,negative_sample,Mizoram,,none,none,0
